XXX if we keep the createClassManager in getClassManager then we can axe;src/bsh/NameSpace.java;526;
"this is a sloppy hack to fix bug    ""[ 677902 ] hitting return after collapsed    fold""     the idea is that if we extend the range then    the problem described in the bug happends, so    if the insert is at the very end of the range    we don't extend it, instead we push the    insert into the next range, however for this    to work properly we also have to mess with    screen line counts.";src/org/gjt/sp/jedit/textarea/DisplayManager.java;1533-1543;
Temporary hack to support inner classes;src/bsh/BSHAllocationExpression.java;141;
stupid scrollbar policy is an attempt to work around;src/org/gjt/sp/jedit/gui/CompleteWord.java;155;
compatibility kludge for jEdit 3.1 and earlier;src/org/gjt/sp/jedit/buffer/BufferIORequest.java;645;
Primitive (number or void) is not normally an instanceof anything.  But for internal use we'll test true for the bsh.Primitive class.   i.e. (5 instanceof bsh.Primitive) will be true;src/bsh/BSHBinaryExpression.java;70-75;
could refactor these a bit;src/bsh/Modifiers.java;57;
hack to move the spaces to the front;src/bsh/commands/dir.java;85;
"Note: is using SignatureKey in this way dangerous?  In the pathological case a user could eat up memory caching every possible combination of argument types to an untyped method.  Maybe we could be smarter about it by ignoring the types of untyped parameter positions?  The method resolver could return a set of ""hints"" for the signature key caching?  There is also the overhead of creating one of these for every method dispatched.  What is the alternative?";src/bsh/BshClassManager.java;572-581;
* Parse the attribute type.     * [54] AttType ::= StringType | TokenizedType | EnumeratedType     * [55] StringType ::= 'CDATA'     * [56] TokenizedType ::= 'ID' | 'IDREF' | 'IDREFS' | 'ENTITY' | 'ENTITIES' |     *                        'NMTOKEN' | 'NMTOKENS'     * [57] EnumeratedType ::= NotationType | Enumeration     * *TODO: validate the type!!;src/com/microstar/xml/XmlParser.java;1374-1382;
* VariableGridLayout.java - a grid layout manager with variable cell sizes  *  * Originally written by Dirk Moebius for the jEdit project. This work has been  * placed into the public domain. You may use this work in any way and for any  * purpose you wish.  *  * THIS SOFTWARE IS PROVIDED AS-IS WITHOUT WARRANTY OF ANY KIND, NOT EVEN THE  * IMPLIED WARRANTY OF MERCHANTABILITY. THE AUTHOR OF THIS SOFTWARE, ASSUMES  * _NO_ RESPONSIBILITY FOR ANY CONSEQUENCE RESULTING FROM THE USE, MODIFICATION,  * OR REDISTRIBUTION OF THIS SOFTWARE.;src/org/gjt/sp/jedit/gui/VariableGridLayout.java;01/dez;
XXX;src/bsh/BSHMethodInvocation.java;74;
Note: incorrect here - we are using the hack in bsh class;src/bsh/BSHType.java;100;
* Parse an element-content model.     * [42] elements ::= (choice | seq) ('?' | '*' | '+')?     * [44] cps ::= S? %cp S?     * [45] choice ::= '(' S? %ctokplus (S? '|' S? %ctoks)* S? ')'     * [46] ctokplus ::= cps ('|' cps)+     * [47] ctoks ::= cps ('|' cps)*     * [48] seq ::= '(' S? %stoks (S? ',' S? %stoks)* S? ')'     * [49] stoks ::= cps (',' cps)*     * *NOTE: the opening '(' and S have already been read.     * *TODO: go over parameter entity boundaries more carefully.;src/com/microstar/xml/XmlParser.java;1179-1190;
This could be smarter...;src/bsh/CollectionManager.java;78;
corresponding buffer.XXX properties not set;src/org/gjt/sp/jedit/Buffer.java;3594;
According to Slava this is better;src/jars/MacOS/macos/MacOSPlugin.java;97;
if(s instanceof Selection.Rect) { addToSelection(new Selection.Rect( s.start + 1,s.end + 1)) };src/org/gjt/sp/jedit/textarea/JEditTextArea.java;3482-3486;
Why is object in the args?;src/bsh/Reflect.java;425;
I guess we could move these to StringUtil someday;src/bsh/Name.java;996;
"following ""fix point"" algorithm:";src/org/objectweb/asm/CodeWriter.java;1300;
XXX re-eval this... do we need it?;src/bsh/Name.java;494;
this is a hack, and really needs to be done better.;src/org/gjt/sp/jedit/textarea/DisplayManager.java;440;
Why both of these?;src/bsh/BSHTryStatement.java;68;
TODO: test that surrogate value is legal.;src/com/microstar/xml/XmlParser.java;4029;
Note: this implementation is temporary. We currently keep a flat namespace of the base name of classes.  i.e. BeanShell cannot be in the process of defining two classes in different packages with the same base name.  To remove this limitation requires that we work through namespace imports in an analogous (or using the same path) as regular class import resolution.  This workaround should handle most cases  so we'll try it for now.;src/bsh/BshClassManager.java;467-475;
Workaround for uncooperative Windows L&F;src/org/gjt/sp/jedit/gui/RolloverButton.java;91;
but may cause problems with future maintenance and add to the;src/com/microstar/xml/XmlParser.java;50;
stupidity;src/org/gjt/sp/jedit/textarea/DisplayManager.java;1207;
XXX;src/gnu/regexp/RESyntax.java;408;
Workaround for JDK bug 4071281, where system.in.available();src/bsh/Interpreter.java;382;
silly usability hack;src/org/gjt/sp/jedit/Buffer.java;2246;
hack to get fixed length 'length' field;src/bsh/commands/dir.java;78;
this is a weird hack.;src/org/gjt/sp/jedit/View.java;616;
Should we be able to iterate over maps? if (iterateOverMe instanceof Map) return ((Map)iterateOverMe).entrySet().iterator();src/bsh/collection/CollectionIterator.java;61-65;
hack to work;src/org/gjt/sp/jedit/gui/ErrorListDialog.java;114;
XXX: getMarkPosition() deprecated!;src/org/gjt/sp/jedit/textarea/JEditTextArea.java;6680;
fix for the bug where key events in JTextComponents;src/org/gjt/sp/jedit/View.java;1641;
stupid: caret will automatically be incremented;src/org/gjt/sp/jedit/textarea/JEditTextArea.java;4285;
why so cute?;src/bsh/Reflect.java;920;
implement this hack. if you don't understand what's going on;src/org/gjt/sp/jedit/search/RESearchMatcher.java;108;
crusty workaround;src/org/gjt/sp/jedit/gui/EnhancedDialog.java;123;
charAt(index-n) may be unknown on a Reader/InputStream. FIXME;src/gnu/regexp/RETokenStart.java;31;
XXX clean up this conditional;src/bsh/ClassGeneratorUtil.java;944;
TODO check if this code ever gets hit;src/gnu/regexp/REMatch.java;91;
"* Parse a conditional section.     * [63] conditionalSect ::= includeSect || ignoreSect     * [64] includeSect ::= '<![' %'INCLUDE' '[' (%markupdecl*)* ']]>'     * [65] ignoreSect ::= '<![' %'IGNORE' '[' ignoreSectContents* ']]>'     * [66] ignoreSectContents ::= ((SkipLit | Comment | PI) -(Char* ']]>'))     *                           | ('<![' ignoreSectContents* ']]>')     *                           | (Char - (']' | [<'""]))     *                           | ('<!' (Char - ('-' | '[')))     * *NOTE: the '<![' has already been read.     * *TODO: verify that I am handling ignoreSectContents right.";src/com/microstar/xml/XmlParser.java;1488-1499;
Note: We will ll move this behavior out to a subclass of  NameSpace, but we'll start here.;src/bsh/NameSpace.java;117-120;
Need to scrape a value from the last line?;src/bsh/Remote.java;120;
TODO: the '\n' literal here should be a test against REToken.newline,;src/gnu/regexp/RE.java;325;
TODO: Also check REG_ANCHORINDEX vs. anchor;src/gnu/regexp/RETokenWordBoundary.java;48;
Note: could eliminate throwing the exception somehow;src/bsh/Name.java;449;
"fix for ""[ 865589 ] 0-byte files should open using";src/org/gjt/sp/jedit/buffer/BufferIORequest.java;575;
stupid Swing;src/org/gjt/sp/jedit/browser/VFSDirectoryEntryTable.java;316;
Hack... need a more direct way of obtaining a view?;src/org/gjt/sp/jedit/textarea/DisplayManager.java;545;
* VariableGridLayout.java - a grid layout manager with variable cell sizes  *  * Originally written by Dirk Moebius for the jEdit project. This work has been  * placed into the public domain. You may use this work in any way and for any  * purpose you wish.  *  * THIS SOFTWARE IS PROVIDED AS-IS WITHOUT WARRANTY OF ANY KIND, NOT EVEN THE  * IMPLIED WARRANTY OF MERCHANTABILITY. THE AUTHOR OF THIS SOFTWARE, ASSUMES  * _NO_ RESPONSIBILITY FOR ANY CONSEQUENCE RESULTING FROM THE USE, MODIFICATION,  * OR REDISTRIBUTION OF THIS SOFTWARE.;src/installer/VariableGridLayout.java;01/dez;
removed. retarded, eh? this needs to be;src/org/gjt/sp/jedit/gui/DockableWindowManager.java;1474;
Somewhat of a hack.  If the special fields are visible (we're operating relative to a 'this' type already) dissallow further .this references to prevent user from skipping to things like super.this.caller;src/bsh/Name.java;483-488;
ï»¿XXXX re-evaluate this;src/bsh/Name.java;526;
hacked BufferIORequest to send VFSUpdates in case;src/org/gjt/sp/jedit/browser/VFSBrowser.java;369;
hack... sticking to first interpreter that resolves this;src/bsh/BSHType.java;171;
Why?;src/org/gjt/sp/jedit/Buffer.java;1362;
